Temperature;Barometer;Humidity;Gas;TAG
33.52;128958;1;12944;Denia01
33.52;128958;1;13051;Denia01
33.52;128958;1;13082;Denia01
33.52;128958;1;12974;Denia01
33.52;128958;1;13028;Denia01
33.52;128958;1;13097;Denia01
33.52;128958;1;12952;Denia01
33.52;128958;1;13144;Denia01
33.52;128958;1;12974;Denia01
33.52;128958;1;13082;Denia01
33.52;128958;1;12959;Denia01
33.52;128958;1;13082;Denia01
33.52;128958;1;13013;Denia01
33.52;128958;1;12937;Denia01
33.52;128958;1;13059;Denia01
33.52;128958;1;13051;Denia01
33.52;128958;1;13067;Denia01
33.52;128958;1;13051;Denia01
33.52;128958;1;13067;Denia01
33.52;128958;1;13059;Denia01
33.52;128958;1;13082;Denia01
33.52;128958;1;13074;Denia01
33.52;128958;1;12952;Denia01
33.52;128958;1;13097;Denia01
33.52;128958;1;13028;Denia01
33.52;128958;1;13113;Denia01
33.52;128958;1;13144;Denia01
33.52;128958;1;13097;Denia01
33.52;128958;1;12952;Denia01
33.52;128958;1;13020;Denia01
33.52;128958;1;13074;Denia01
33.52;128958;1;13097;Denia01
33.52;128958;1;13067;Denia01
33.52;128958;1;12990;Denia01
33.52;128958;1;13051;Denia01
33.52;128958;1;13136;Denia01
33.52;128958;1;13090;Denia01
33.52;128958;1;13005;Denia01
33.52;128958;1;13105;Denia01
33.52;128958;1;13043;Denia01
33.52;128958;1;12974;Denia01
33.52;128958;1;13059;Denia01
33.52;128958;1;13043;Denia01
33.52;128958;1;13105;Denia01
33.52;128958;1;13067;Denia01
33.52;128958;1;13067;Denia01
33.52;128958;1;13160;Denia01
33.52;128958;1;13036;Denia01
33.52;128958;1;13129;Denia01
33.52;128958;1;13129;Denia01
33.52;128958;1;13090;Denia01
33.52;128958;1;13090;Denia01
33.52;128958;1;13105;Denia01
33.52;128958;1;13097;Denia01
33.52;128958;1;13176;Denia01
33.52;128958;1;13183;Denia01
33.52;128958;1;13082;Denia01
33.52;128958;1;13136;Denia01
33.52;128958;1;13176;Denia01
33.52;128958;1;13144;Denia01
33.52;128958;1;13020;Denia01
33.52;128958;1;13105;Denia01
33.52;128958;1;13144;Denia01
33.52;128958;1;13028;Denia01
33.52;128958;1;13160;Denia01
33.52;128958;1;13168;Denia01
33.52;128958;1;13067;Denia01
33.52;128958;1;13152;Denia01
33.52;128958;1;13074;Denia01
33.52;128958;1;13082;Denia01
33.52;128958;1;13144;Denia01
33.52;128958;1;13160;Denia01
33.52;128958;1;13113;Denia01
33.52;128958;1;13183;Denia01
33.52;128958;1;13074;Denia01
33.52;128958;1;13121;Denia01
33.52;128958;1;13074;Denia01
33.52;128958;1;13113;Denia01
33.52;128958;1;13082;Denia01
33.52;128958;1;13191;Denia01
33.52;128958;1;13059;Denia01
33.52;128958;1;13097;Denia01
33.52;128958;1;13105;Denia01
33.52;128958;1;13082;Denia01
33.52;128958;1;13082;Denia01
33.52;128958;1;13129;Denia01
33.52;128958;1;13043;Denia01
33.52;128958;1;13051;Denia01
33.52;128958;1;13082;Denia01
33.52;128958;1;13043;Denia01
33.52;128958;1;13121;Denia01
33.52;128958;1;13097;Denia01
33.52;128958;1;13020;Denia01
33.52;128958;1;13013;Denia01
33.52;128958;1;13051;Denia01
33.52;128958;1;13043;Denia01
33.52;128958;1;13051;Denia01
33.52;128958;1;12997;Denia01
33.52;128958;1;13043;Denia01
33.52;128958;1;13067;Denia01
33.52;128958;1;13105;Denia01
33.52;128958;1;13067;Denia01
33.52;128958;1;13059;Denia01
33.52;128958;1;13013;Denia01
33.52;128958;1;12952;Denia01
33.52;128958;1;13005;Denia01
33.52;128958;1;13043;Denia01
33.52;128958;1;13168;Denia01
33.52;128958;1;12990;Denia01
33.52;128958;1;13013;Denia01
33.52;128958;1;13067;Denia01
33.52;128958;1;12982;Denia01
33.52;128958;1;13005;Denia01
33.52;128958;1;13005;Denia01
33.52;128958;1;13097;Denia01
33.52;128958;1;13005;Denia01
33.52;128958;1;13013;Denia01
33.52;128958;1;12974;Denia01
33.52;128958;1;13059;Denia01
33.52;128958;1;13020;Denia01
33.52;128958;1;12959;Denia01
33.52;128958;1;13113;Denia01
33.52;128958;1;13020;Denia01
33.52;128958;1;12952;Denia01
33.52;128958;1;13020;Denia01
33.52;128958;1;12944;Denia01
33.52;128958;1;12967;Denia01
33.52;128958;1;12959;Denia01
33.52;128958;1;13036;Denia01
33.52;128958;1;12997;Denia01
33.52;128958;1;13105;Denia01
33.52;128958;1;13028;Denia01
33.52;128958;1;12944;Denia01
33.52;128958;1;13036;Denia01
33.52;128958;1;12974;Denia01
33.52;128958;1;13051;Denia01
33.52;128958;1;12967;Denia01
33.52;128958;1;12997;Denia01
33.52;128958;1;13036;Denia01
33.52;128958;1;13020;Denia01
33.52;128958;1;12990;Denia01
33.52;128958;1;12952;Denia01
33.52;128958;1;12997;Denia01
33.52;128958;1;12906;Denia01
33.52;128958;1;12990;Denia01
33.52;128958;1;13005;Denia01
33.52;128958;1;12959;Denia01
33.52;128958;1;13020;Denia01
33.52;128958;1;12982;Denia01
33.52;128958;1;12929;Denia01
33.52;128958;1;13005;Denia01
33.52;128958;1;12974;Denia01
33.52;128958;1;12997;Denia01
33.52;128958;1;13020;Denia01
33.52;128958;1;12869;Denia01
33.52;128958;1;12982;Denia01
33.52;128958;1;12937;Denia01
33.52;128958;1;13028;Denia01
33.52;128958;1;12967;Denia01
33.52;128958;1;12990;Denia01
33.52;128958;1;12952;Denia01
33.52;128958;1;13005;Denia01
33.52;128958;1;12921;Denia01
33.52;128958;1;13013;Denia01
33.52;128958;1;12974;Denia01
33.52;128958;1;12891;Denia01
33.52;128958;1;13020;Denia01
33.52;128958;1;12891;Denia01
